,kepid,ra_kic,dec_kic,source_id,random_index,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,astrometric_params_solved,pseudocolour,pseudocolour_error,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_expected_sig_to_noise,rv_renormalised_gof,rv_chisq_pvalue,phot_variable_flag,l,b,in_qso_candidates,in_galaxy_candidates,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,in_andromeda_survey,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,ag_gspphot,ebpminrp_gspphot,angdist,kepler_gaia_ang_dist,pm_corrected,tm_designation,kepmag,teff,teff_err1,teff_err2,teff_prov,logg,logg_err1,logg_err2,logg_prov,feh,feh_err1,feh_err2,feh_prov,radius,radius_err1,radius_err2,mass,mass_err1,mass_err2,prov_sec,nconfp,nkoi,ntce,jmag,hmag,kmag,planet?,kepler_gaia_mag_diff,KIC,Teff,log(g),Mass,PRot,e_PRot,Rper,LPH,w,DC,Flag,heritage,f3_std
0,1431845,291.30658,37.05212,2051759688954506368,1562772254,291.30659787703377,37.05216004468982,3.958805963018399,0.2511475,15.762873,10.328259802637323,0.2866287,17.266217312298856,0.25848332,95,1.2513307,0.05831873,58,0,5.7408066,600.3615,16.30351,190.54175,17.326115,581.9681,14.78666,1.9847353,2.5394545,,,16959,,,,NOT_AVAILABLE,69.69207041392245,9.81168329425793,False,False,0,True,False,False,False,False,False,True,False,,,,,,,0.1530375605899443,0.174415675668166,True,2MASS J19251357+3703076,15.967,3694,133,-133,KIC0,4.686,0.076,-0.022,KIC0,0.56,0.05,-0.3,KIC0,0.566,0.033,-0.076,0.567,0.041,-0.069,DSEP,0,0,0,13.219,12.56,12.302,none,0.33651066589355416,,,,,,,,,,,,,0.011942940786559594
1,1432978,291.53964,37.070702,2051751717495409280,1184443749,291.5397801297874,37.07089663769566,6.723844847052154,0.032380737,207.64954,22.488115209544972,0.03336403,39.42456624045904,0.039589144,31,,,0,0,1.0218058,2149.3037,15.87663,148.7611,17.242887,840.7855,14.725315,1.4214984,2.5175724,,,16959,,,,NOT_AVAILABLE,69.79404399850806,9.653967712103416,False,False,0,True,False,False,False,False,True,True,False,3515.0989,4.8313,-0.1274,148.0506,0.4954,0.308,0.808077201576193,0.08191266712917084,True,2MASS J19260951+3704145,15.958,3683,117,-147,KIC0,4.688,0.08,-0.02,KIC0,0.56,0.05,-0.3,KIC0,0.563,0.03,-0.083,0.564,0.036,-0.072,DSEP,0,0,0,13.208,12.628,12.375,none,-0.0813701705932619,,,,,,,,,,,,,0.007960103584247417
2,1569863,290.6265,37.142689,2051023531557956608,514529596,290.6265712225024,37.14277335325822,3.8159311159050424,0.029397478,129.8047,4.386589933067092,0.033900872,-2.5826767503997488,0.03138527,31,,,3,0,1.0088041,1506.3517,15.840997,250.93669,16.90751,368.70163,14.803945,1.3655962,2.1035662,,,16959,,,,VARIABLE,69.52857636511719,10.337507537005024,False,False,0,True,False,False,True,False,False,True,False,,,,,,,0.3660466135523288,0.3701769729789804,True,2MASS J19223036+3708336,15.856,3587,48,-53,PHO2,4.912,0.031,-0.042,PHO2,-0.3,0.1,-0.1,PHO2,0.357,0.032,-0.032,0.381,0.034,-0.045,DSEP,0,0,0,13.278,12.651,12.518,none,-0.015003257751464716,1569863.0,3589.0,4.91,0.3862,13.321,0.369,30052.33,1.576,0.7713,1.0,---,1.0,0.013330509098549789
3,1724234,292.10266,37.23151,2051733781711156864,921492409,292.10213231205194,37.230889076578734,10.862310310831804,0.048994794,221.70335,-83.24512329269182,0.051797338,-138.73588543207035,0.057179462,31,,,0,0,0.9289982,1142.1122,16.892363,64.66514,18.61791,514.6587,15.639083,1.4831268,2.9788275,,,16959,,,,NOT_AVAILABLE,70.14465765732872,9.32699416925207,False,False,0,True,False,False,False,False,True,True,False,3263.7646,5.0588,-0.4298,94.7983,0.6075,0.3994,2.698963222166479,0.1812640478911349,True,2MASS J19282464+3713536,17.038,3504,104,-115,PHO54,4.936,0.114,-0.085,PHO54,-0.28,0.3,-0.3,PHO54,0.319,0.082,-0.09,0.32,0.096,-0.096,DSEP,0,0,0,13.915,13.327,13.093,none,-0.14563740539550807,,,,,,,,,,,,,0.006380699999203141
4,1867358,291.24002,37.331589,2052518317615126400,716668210,291.2400715664026,37.33158700124867,2.872773311844377,0.02922134,98.31081,11.46749092381975,0.032320794,4.958091828415105,0.03526255,31,,,1,0,0.98625386,2565.9326,15.943689,251.21115,17.016945,706.29364,14.911878,1.3586481,2.1050673,,,16959,,,,NOT_AVAILABLE,69.92143581401264,9.98440854041535,False,False,0,True,False,False,False,False,False,True,False,,,,,,,0.14778417401878366,0.09366591575891545,True,2MASS J19245760+3719537,15.973,3625,50,-65,PHO2,4.828,0.036,-0.036,PHO2,-0.1,0.1,-0.1,PHO2,0.429,0.03,-0.037,0.452,0.029,-0.043,DSEP,0,0,0,13.612,12.983,12.803,none,-0.02931065368652419,1867358.0,3625.0,4.82,0.3993,32.879,0.735,4835.13,0.448,0.297,1.0,---,1.0,0.004173561255463352
5,1996728,286.50623,37.46706,2099028415384549760,45931370,286.5062632162854,37.46728680796644,7.1245145192888755,0.02099202,339.39157,1.7620471240715663,0.022768565,48.16083582397423,0.02479752,31,,,2,0,1.1413344,2589.46,14.849575,140.9668,15.905626,430.1006,13.77488,1.4068218,2.130746,23.933683,5.8991485,22,7.3829055,,,NOT_AVAILABLE,68.4037212280315,13.44129088885951,False,False,0,True,True,False,False,False,True,True,False,3712.4424,4.7129,-0.3214,140.2164,0.3882,0.2257,0.8220062604760223,0.08100015732203558,True,2MASS J19060149+3728014,14.868,3544,42,-47,PHO2,4.878,0.033,-0.033,PHO2,-0.1,0.1,-0.1,PHO2,0.378,0.03,-0.03,0.397,0.033,-0.04,DSEP,0,0,0,12.316,11.755,11.518,none,-0.018424957275390952,1996728.0,3549.0,4.88,0.3718,53.792,12.023,,0.344,0.1553,1.0,,2.0,0.0012555953188775775
6,2012731,291.01511,37.414719,2052521994107043328,106494982,291.015094186284,37.41462715651543,3.3912816836189856,0.033869743,100.127174,-4.160915707710003,0.03837548,-15.80551651752831,0.041138705,31,,,0,0,1.1911392,2508.221,15.900158,209.36108,17.013792,784.71326,14.848471,1.3689111,2.1653214,,,16959,,,,NOT_AVAILABLE,69.91571962215659,10.181460885323773,False,False,0,True,False,False,False,False,False,True,False,,,,,,,0.3337140573500363,0.08062853199270285,True,2MASS J19240362+3724530,15.976,3470,62,-55,PHO2,4.97,0.05,-0.05,PHO2,-0.3,0.1,-0.1,PHO2,0.289,0.046,-0.038,0.285,0.053,-0.044,DSEP,0,0,0,13.458,12.739,12.567,none,-0.07584207153320399,2012731.0,3471.0,4.98,0.3441,36.258,0.238,9061.6,0.804,0.5086,1.0,---,1.0,0.006364100769478725
7,2142451,286.60022,37.527699,2099122114390514944,1755246293,286.60020952198084,37.52755584656139,4.320835140414331,0.029118007,148.39049,1.6970134666016978,0.031876333,-28.354763828172928,0.03212724,31,,,0,0,0.9311682,2082.0383,15.673026,200.50653,16.875877,919.89526,14.586019,1.3850644,2.2898588,,,16959,,,,NOT_AVAILABLE,68.49154471733264,13.3978131561234,False,False,0,True,False,False,False,False,True,True,False,3760.403,4.6885,0.1428,226.0048,0.4802,0.2866,0.5162198909842427,0.08402738347761375,True,2MASS J19062405+3731397,15.694,3489,77,-84,PHO2,4.868,0.065,-0.045,PHO2,0.0,0.1,-0.1,PHO2,0.379,0.05,-0.061,0.388,0.057,-0.07,DSEP,0,0,0,13.146,12.496,12.286,none,-0.020973915100098495,2142451.0,3482.0,4.86,0.348,33.671,0.692,4652.62,0.431,0.2836,1.0,---,1.0,0.0034324997470935913
8,2157356,290.80032,37.517891,2052538658580396160,1369370167,290.80029011659775,37.51773950089855,1.8998274694780224,0.03449932,55.068546,-5.473897426926428,0.03789737,-27.944710366624562,0.03813271,31,,,0,0,1.0998229,1582.083,15.953155,217.31073,16.9591,620.2601,14.952087,1.3455113,2.0070133,,,16959,,,,VARIABLE,69.93249147670872,10.380024574476922,False,False,0,True,False,False,True,False,False,True,False,,,,,,,0.5520313691235698,0.09830726096650458,True,2MASS J19231207+3731044,15.984,3651,51,-58,PHO2,4.855,0.038,-0.031,PHO2,-0.3,0.1,-0.1,PHO2,0.402,0.029,-0.036,0.421,0.028,-0.042,DSEP,0,0,0,13.656,13.046,12.855,none,-0.030845436096191392,2157356.0,3650.0,4.87,0.4085,13.607,0.046,16120.61,1.43,0.7363,1.0,---,1.0,0.006204011228493887
9,2282712,285.88242,37.641129,2099839270848409984,42239669,285.8824862534341,37.64100582572572,,,,,,,,3,,,55,0,,75.22218,15.858396,242.3514,16.70122,731.81433,14.440436,1.8874872,2.2607832,,,16959,,,,NOT_AVAILABLE,68.36131932761883,13.96381015798454,False,False,0,True,False,False,False,False,False,False,False,,,,,,,0.48197345308639955,0.48197345308639955,False,2MASS J19033178+3738280,15.568,3452,44,-44,PHO2,4.923,0.048,-0.032,PHO2,-0.1,0.1,-0.1,PHO2,0.33,0.03,-0.037,0.332,0.041,-0.041,DSEP,0,0,0,13.042,12.464,12.224,none,0.29039557647705116,2282712.0,3451.0,4.92,0.3372,20.167,0.35,13719.32,1.508,0.7441,1.0,---,1.0,0.006399842590757774
