,kepid,ra_kic,dec_kic,source_id,random_index,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,astrometric_params_solved,pseudocolour,pseudocolour_error,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_expected_sig_to_noise,rv_renormalised_gof,rv_chisq_pvalue,phot_variable_flag,l,b,in_qso_candidates,in_galaxy_candidates,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,in_andromeda_survey,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,ag_gspphot,ebpminrp_gspphot,angdist,kepler_gaia_ang_dist,pm_corrected,tm_designation,kepmag,teff,teff_err1,teff_err2,teff_prov,logg,logg_err1,logg_err2,logg_prov,feh,feh_err1,feh_err2,feh_prov,radius,radius_err1,radius_err2,mass,mass_err1,mass_err2,prov_sec,nconfp,nkoi,ntce,jmag,hmag,kmag,planet?,kepler_gaia_mag_diff,KIC,Teff,log(g),Mass,PRot,e_PRot,Rper,LPH,w,DC,Flag,heritage
0,1293177,291.06366,36.994308,2050260126894870784,872163627,291.0640171909623,36.994678469253955,6.250707866859254,0.037081935,168.56477,60.99702550978068,0.03816171,83.45464918522956,0.04370195,31,,,0,0,0.94357514,1783.0211,16.134594,143.11032,17.344698,675.5301,15.051919,1.378909,2.292779,,,16959,,,,NOT_AVAILABLE,69.55178044793281,9.959034823628988,False,False,0,True,False,False,False,False,True,True,False,3570.1675,4.9055,-0.3968,159.4429,0.4453,0.2598,1.6833054748720144,0.05110450415251563,True,2MASS J19241528+3659395,16.242,3385,44,-40,PHO2,5.077,0.036,-0.04,PHO2,-0.4,0.1,-0.1,PHO2,0.216,0.026,-0.023,0.204,0.032,-0.026,DSEP,0,0,0,13.631,13.066,12.883,none,-0.107406036376954,,,,,,,,,,,,
1,1433760,291.71573,37.004219,2051703579500387328,938920596,291.71551482024466,37.004540247166055,5.111446456989261,0.051900204,98.48606,-36.62370432425587,0.05546499,73.50111381694077,0.0627256,31,,,0,0,1.1528772,1335.8174,16.584143,153.88385,17.921562,565.46387,15.418461,1.4432341,2.5031013,,,16959,,,,NOT_AVAILABLE,69.79831835312521,9.49884389355379,False,False,0,True,False,False,False,False,True,True,False,3523.4722,4.8654,-0.2994,191.6208,0.5066,0.3111,1.3115508443433628,0.03804213445619176,True,2MASS J19265177+3700151,16.624,3295,42,-36,PHO2,5.073,0.044,-0.044,PHO2,-0.1,0.1,-0.1,PHO2,0.213,0.031,-0.025,0.196,0.035,-0.029,DSEP,0,0,0,13.885,13.325,13.128,none,-0.03985731506347534,,,,,,,,,,,,
2,1873513,292.57986,37.376411,2051815759742763264,64764617,292.5798559522023,37.376257342098995,3.9327691352029492,0.026940595,145.9793,-2.5832022239384704,0.027658949,-30.39592217079424,0.030040354,31,,,0,0,1.0183854,2251.469,15.644889,316.85043,16.816801,704.96655,14.568695,1.3806353,2.248106,,,16959,,,,NOT_AVAILABLE,70.45169004592513,9.055578064381592,False,False,0,True,False,False,False,False,False,True,False,3657.7021,4.5193,-0.2468,254.8963,0.3826,0.2264,0.5532896362548756,0.07315656764693522,True,2MASS J19301917+3722350,15.669,3386,103,-33,KIC0,4.81,0.01,-0.02,KIC0,0.48,0.05,-0.15,KIC0,0.427,0.036,-0.009,0.43,0.046,-0.009,DSEP,1,1,1,13.141,12.504,12.312,conf,-0.02411112213134814,,,,,,,,,,,,
3,1995305,286.08368,37.47707,2099084353038385280,1678035828,286.08322186584013,37.47746161147773,7.2292930602605345,0.035463687,203.85057,-74.29377034583757,0.03438015,77.13195095690355,0.035896108,31,,,0,0,1.0237008,1770.671,15.955903,161.7266,17.360893,623.0117,14.793006,1.4273131,2.5678873,,,16959,,,,NOT_AVAILABLE,68.27314826897185,13.752291387157012,False,False,0,True,False,False,False,False,True,True,False,3445.4446,4.8552,-0.1948,138.1979,0.4039,0.2555,1.923710123328835,0.21285124188489504,True,2MASS J19042008+3728374,15.993,3284,42,-36,PHO2,5.038,0.044,-0.04,PHO2,0.0,0.1,-0.1,PHO2,0.228,0.032,-0.026,0.207,0.041,-0.027,DSEP,0,0,0,13.234,12.744,12.514,none,-0.03709694671630892,1995305.0,3274.0,5.03,0.2778,54.2,12.275,,0.307,0.1424,1.0,,2.0
4,2164791,292.42737,37.556019,2051832565958248192,1317036874,292.4265103115665,37.55421492604378,24.878714087784907,0.087601125,283.99994,-152.91496438737497,0.095387414,-402.609620912402,0.118738264,31,,,0,0,7.4971147,1940.6842,14.282446,498.96167,15.928999,1376.0282,13.039043,1.4822043,2.8899555,25.541986,1.8754421,14,12.143136,,,NOT_AVAILABLE,70.55536470405724,9.245331953472258,False,False,0,True,True,False,False,False,False,True,False,,,,,,,6.942653879091,0.0532952301808672,True,2MASS J19294258+3733223,15.223,2661,999999,999999,PHO54,5.283,,,PHO54,0.0,,,PHO54,0.116,,,0.094,,,BTSL,0,0,3,11.282,10.736,10.444,none,-0.9405540924072273,,,,,,,,,,,,
5,2451529,293.24615,37.71719,2051665715072846720,1718022002,293.2460870923167,37.717221959753395,5.475602416537824,0.03464636,158.04266,-14.206472729259728,0.036316,6.347488605611305,0.038440008,31,,,0,0,1.2163879,2290.8394,15.892522,202.44858,17.186344,644.0676,14.762458,1.4121548,2.4238863,,,16959,,,,NOT_AVAILABLE,71.00470139783634,8.744491169806757,False,False,0,True,False,False,False,False,True,True,False,3522.5728,4.7201,-0.242,182.6842,0.372,0.2303,0.2129098168278148,0.05001369997149786,True,2MASS J19325908+3743018,15.942,3344,43,-40,PHO2,4.976,0.045,-0.045,PHO2,0.0,0.1,-0.1,PHO2,0.274,0.041,-0.03,0.259,0.052,-0.034,DSEP,0,0,0,13.272,12.7,12.465,none,-0.04947814178466814,2451529.0,3337.0,4.98,0.2984,,,,,,1.0,,2.0
6,2554730,285.98425,37.87886,2099849269532702080,1442638498,285.98449048062713,37.878922082709444,6.628940291039874,0.022343474,296.68353,38.83012045061268,0.026101748,16.39483144882091,0.024485376,31,,,0,0,0.99741143,2061.5696,15.087547,401.32846,16.371859,743.51166,13.969085,1.4014257,2.4027739,-68.51092,4.048652,18,5.190367,,,NOT_AVAILABLE,68.61922599522121,13.985504855562239,False,False,0,True,False,False,False,False,True,True,False,3617.45,4.6704,0.0163,150.6228,0.4657,0.284,0.7189512708457793,0.07319445251165921,True,2MASS J19035622+3752438,15.153,3393,45,-45,PHO2,4.935,0.05,-0.036,PHO2,0.0,0.1,-0.1,PHO2,0.312,0.038,-0.038,0.306,0.051,-0.042,DSEP,0,0,0,12.526,11.876,11.646,none,-0.06545269775390672,2554730.0,3389.0,4.93,0.3159,45.962,0.341,11848.81,0.92,0.5018,1.0,---,1.0
7,2695885,286.78326,37.954189,2099182759328038272,210527241,286.78345621510493,37.95410529946174,6.9037569941997905,0.025694152,268.68982,32.925134770007894,0.029255485,-18.215511519270315,0.0317256,31,,,0,0,1.1836637,1992.2556,15.350708,296.86533,16.660822,954.74274,14.220312,1.409239,2.4405098,-34.428177,4.966059,13,4.865872,,,NOT_AVAILABLE,68.95268199556824,13.439614268684462,False,False,0,True,False,False,False,False,True,True,False,3567.7988,4.7524,-0.0429,144.1419,0.4527,0.2785,0.6332613329509634,0.0317527767774328,True,2MASS J19070797+3757151,15.418,3373,43,-37,PHO2,4.952,0.04,-0.04,PHO2,0.0,0.1,-0.1,PHO2,0.296,0.038,-0.031,0.286,0.048,-0.035,DSEP,0,0,0,12.709,12.125,11.913,none,-0.06729199218749926,2695885.0,3368.0,4.94,0.3088,56.728,0.536,7657.05,0.77,0.4028,1.0,---,1.0
8,2831828,285.7532,38.056946,2099869434401718784,553890279,285.75256270375206,38.056531791252304,9.562058176573142,0.09327031,102.51985,-118.93011547194246,0.09904076,-73.32725360407383,0.11336658,95,1.1779628,0.023866024,0,0,0.9724755,776.77045,17.960075,18.808163,19.955883,159.77309,16.650618,1.5214138,3.3052654,,,16959,,,,NOT_AVAILABLE,68.71158067113419,14.224154133647813,False,False,0,False,False,False,False,False,True,True,False,3108.8513,5.1184,-0.5021,107.2289,0.5196,0.361,2.342434711953683,0.33220966837472543,True,2MASS J19030079+3803248,18.81,2891,999999,999999,PHO54,5.226,,,PHO54,0.0,,,PHO54,0.131,,,0.106,,,BTSL,0,0,0,14.845,14.343,14.062,none,-0.84992462158203,,,,,,,,,,,,
9,2832720,286.04691,38.08839,2099949599967755008,941403100,286.0471430633052,38.08864176740176,6.430943906274786,0.07241104,88.81165,21.220939015196876,0.08495135,36.784315344823995,0.09474846,95,1.2510823,0.016750356,32,0,1.464038,656.5078,15.848489,63.899624,16.688242,75.70161,14.059179,2.522069,2.6290627,,,16959,,,,NOT_AVAILABLE,68.83761856456398,14.024478830967459,False,False,0,True,False,False,False,False,False,True,False,,,,,,,1.1214161194875147,0.4515938915875371,True,2MASS J19041125+3805181,15.208,3211,38,-19,PHO2,5.151,0.063,-0.077,PHO2,0.02,0.1,-0.1,PHO2,0.168,0.04,-0.022,0.146,0.044,-0.022,DSEP,0,0,1,12.358,11.727,11.479,none,0.6404888076782225,2832720.0,3204.0,5.13,0.2556,24.142,5.682,12013.49,0.857,0.5072,1.0,---,1.0
